FMA75351	interventricular foramen	FJ1752
FMA59541	right lacrimal lake	FJ1352
FMA59542	left lacrimal lake	FJ1301
FMA9465	cavity of left atrium	FJ2425
FMA11359	cavity of right atrium	FJ2424
FMA9291	cavity of right ventricle	FJ2423
FMA9466	cavity of left ventricle	FJ2422
FMA83740	interpeduncular fossa	FJ1763
FMA83740	interpeduncular fossa	FJ1811
FMA55077	pharyngeal raphe	FJ2749
FMA55619	right pterygomandibular raphe	FJ2756
FMA55620	left pterygomandibular raphe	FJ2744
FMA71307	set of interspinales lumborum	FJ1550
FMA71307	set of interspinales lumborum	FJ1550M
FMA71309	set of interspinales cervicis	FJ1552
FMA71309	set of interspinales cervicis	FJ1552M
FMA74075	set of right levatores costarum longi	FJ1463
FMA74076	set of left levatores costarum longi	FJ1463M
FMA74077	set of right levatores costarum breves	FJ1462
FMA74078	set of left levatores costarum breves	FJ1462M
FMA42398	set of lumbricals of right hand	FJ1510
FMA42399	set of lumbricals of left hand	FJ1510M
FMA42404	set of dorsal interossei of right hand	FJ1509
FMA42405	set of dorsal interossei of left hand	FJ1509M
FMA42402	set of palmar interossei of right hand	FJ1511
FMA42403	set of palmar interossei of left hand	FJ1511M
FMA71442	set of anterior cervical intertransversarii	FJ1549
FMA71442	set of anterior cervical intertransversarii	FJ1549M
FMA71443	set of posterior cervical intertransversarii	FJ1553
FMA71443	set of posterior cervical intertransversarii	FJ1553M
FMA7041	short ciliary nerve	FJ1319
FMA7041	short ciliary nerve	FJ1370
FMA63822	posterior intercostal arteries	FJ1961
FMA63822	posterior intercostal arteries	FJ1975
FMA70800	set of dorsal metacarpal arteries	FJ2347
FMA70800	set of dorsal metacarpal arteries	FJ2348
FMA70801	set of dorsal digital arteries	FJ2093
FMA70801	set of dorsal digital arteries	FJ2197
FMA70801	set of dorsal digital arteries	FJ2318
FMA70801	set of dorsal digital arteries	FJ2346
FMA70815	set of perforating arteries	FJ2090
FMA70815	set of perforating arteries	FJ2094
FMA70815	set of perforating arteries	FJ2127
FMA70815	set of perforating arteries	FJ2203
FMA70821	set of common plantar digital arteries	FJ2092
FMA70821	set of common plantar digital arteries	FJ2196
FMA71502	set of posterior temporal branches of lateral occipital artery	FJ1719
FMA71502	set of posterior temporal branches of lateral occipital artery	FJ1719M
FMA71537	set of oesophageal branches of thoracic aorta	FJ3431
FMA71562	set of calcaneal branches of posterior tibial artery	FJ2091
FMA71562	set of calcaneal branches of posterior tibial artery	FJ2195
FMA71564	set of plantar digital arteries proper	FJ2095
FMA71564	set of plantar digital arteries proper	FJ2204
FMA71564	set of plantar digital arteries proper	FJ2205
FMA62506	dorsal venous network of right hand	FJ2280
FMA62507	dorsal venous network of left hand	FJ2228
FMA70839	set of anterior intercostal veins	FJ1985
FMA70839	set of anterior intercostal veins	FJ1994
FMA70917	set of dorsal digital veins	FJ2185
FMA70917	set of dorsal digital veins	FJ2198
FMA70919	set of plantar digital veins	FJ2120
FMA70919	set of plantar digital veins	FJ2175
FMA70922	set of perforating veins	FJ2100
FMA70922	set of perforating veins	FJ2119
FMA70922	set of perforating veins	FJ2138
FMA70922	set of perforating veins	FJ2174
FMA70922	set of perforating veins	FJ2192
FMA54237	eyebrow	FJ2812
FMA58828	right vitreous body	FJ1382
FMA58829	left vitreous body	FJ1331
FMA11336	linea alba	FJ1448
FMA22835	right superficial palmar arterial arch	FJ2300
