FMA54640	tongue	FJ2761
FMA46728	right levator veli palatini	FJ2753
FMA46729	left levator veli palatini	FJ2741
FMA46731	right tensor veli palatini	FJ2760
FMA46732	left tensor veli palatini	FJ2748
FMA46733	uvular muscle	FJ2762
FMA54398	lower jaw	FJ1253
FMA54398	lower jaw	FJ3289
FMA59802	right submandibular gland	FJ2768
FMA59803	left submandibular gland	FJ2766
FMA54397	upper jaw	FJ1252
FMA59763	gingiva of upper jaw	FJ1252
FMA59764	gingiva of lower jaw	FJ1253
FMA59992	faucial part of mouth	FJ2762
FMA7131	esophagus	FJ2563
FMA7148	stomach	FJ2564
FMA14338	right hepatic vein	FJ2416
FMA70442	anterior superior segmental hepatic artery	FJ3076
FMA70443	anterior inferior segmental hepatic artery	FJ3075
FMA70445	posterior superior segmental hepatic artery	FJ3115
FMA70445	posterior superior segmental hepatic artery	FJ3116
FMA70446	posterior inferior segmental hepatic artery	FJ3114
FMA70447	caudate lobe branch of right hepatic artery	FJ1916
FMA70447	caudate lobe branch of right hepatic artery	FJ2386
FMA70456	trunk of right hepatic artery	FJ3117
FMA15800	anterior inferior segmental tributary of middle hepatic vein	FJ3083
FMA15800	anterior inferior segmental tributary of middle hepatic vein	FJ3086
FMA14669	right hepatic duct	FJ3123
FMA71867	anterior superior tributary of right hepatic biliary tree	FJ3071
FMA71868	anterior inferior tributary of right hepatic biliary tree	FJ3072
FMA71869	posterior superior tributary of right hepatic biliary tree	FJ3109
FMA71869	posterior superior tributary of right hepatic biliary tree	FJ3110
FMA71870	posterior inferior tributary of right hepatic biliary tree	FJ3108
FMA13365	caudate lobe of liver	FJ2816
FMA14339	left hepatic vein	FJ2415
FMA70449	medial superior segmental hepatic artery	FJ3107
FMA70450	medial inferior segmental hepatic artery	FJ3106
FMA70452	lateral superior segmental hepatic artery	FJ3091
FMA70452	lateral superior segmental hepatic artery	FJ3093
FMA70453	lateral inferior segmental hepatic artery	FJ3092
FMA70455	caudate lobe branch of left hepatic artery	FJ3077
FMA70457	trunk of left hepatic artery	FJ3095
FMA15425	caudate lobe branch of left portal vein	FJ3124
FMA15428	medial superior segmental branch of left portal vein	FJ3127
FMA15429	medial inferior segmental branch of left portal vein	FJ3128
FMA15431	lateral superior segmental branch of left portal vein	FJ3126
FMA15432	lateral inferior segmental branch of left portal vein	FJ3125
FMA82697	trunk of left portal vein	FJ3102
FMA14670	left hepatic duct	FJ3096
FMA71887	lateral superior tributary of left hepatic biliary tree	FJ3088
FMA71887	lateral superior tributary of left hepatic biliary tree	FJ3090
FMA71888	lateral inferior tributary of left hepatic biliary tree	FJ3089
FMA71885	medial superior tributary of left hepatic biliary tree	FJ3104
FMA71885	medial superior tributary of left hepatic biliary tree	FJ3105
FMA71886	medial inferior tributary of left hepatic biliary tree	FJ3103
FMA71889	caudate lobe tributary of left hepatic biliary tree	FJ1883
FMA14772	hepatic artery proper	FJ1916
FMA14772	hepatic artery proper	FJ2386
FMA14772	hepatic artery proper	FJ3075
FMA14772	hepatic artery proper	FJ3076
FMA14772	hepatic artery proper	FJ3077
FMA14772	hepatic artery proper	FJ3081
FMA14772	hepatic artery proper	FJ3091
FMA14772	hepatic artery proper	FJ3092
FMA14772	hepatic artery proper	FJ3093
FMA14772	hepatic artery proper	FJ3095
