parent id	parent name	child id	child name
FMA20394	human body	FMA7158	respiratory system
FMA7158	respiratory system	FMA45662	lower respiratory tract
FMA45662	lower respiratory tract	FMA7309	right lung
FMA7309	right lung	FMA7383	middle lobe of lung
FMA7383	middle lobe of lung	FMA7360	medial bronchopulmonary segment
FMA7360	medial bronchopulmonary segment	FMA68214	medial segmental bronchial tree
FMA7383	middle lobe of lung	FMA7361	lateral bronchopulmonary segment
FMA7361	lateral bronchopulmonary segment	FMA68215	lateral segmental bronchial tree
FMA7309	right lung	FMA7333	upper lobe of right lung
FMA7333	upper lobe of right lung	FMA7339	right posterior bronchopulmonary segment
FMA7333	upper lobe of right lung	FMA7338	right apical bronchopulmonary segment
FMA7338	right apical bronchopulmonary segment	FMA68211	right apical segmental bronchial tree
FMA7333	upper lobe of right lung	FMA31744	upper lobe part of right bronchial tree
FMA31744	upper lobe part of right bronchial tree	FMA68213	right posterior segmental bronchial tree
FMA7333	upper lobe of right lung	FMA7359	right anterior bronchopulmonary segment
FMA7359	right anterior bronchopulmonary segment	FMA68212	right anterior segmental bronchial tree
FMA7309	right lung	FMA7337	lower lobe of right lung
FMA7337	lower lobe of right lung	FMA7362	right posterior basal bronchopulmonary segment
FMA7337	lower lobe of right lung	FMA7363	right lateral basal bronchopulmonary segment
FMA7363	right lateral basal bronchopulmonary segment	FMA68220	right lateral basal segmental bronchial tree
FMA7337	lower lobe of right lung	FMA7365	right medial basal bronchopulmonary segment
FMA7365	right medial basal bronchopulmonary segment	FMA68218	right medial basal segmental bronchial tree
FMA7337	lower lobe of right lung	FMA7364	right anterior basal bronchopulmonary segment
FMA7364	right anterior basal bronchopulmonary segment	FMA68321	right anterior basal segmental bronchial tree
FMA7337	lower lobe of right lung	FMA7366	right superior bronchopulmonary segment
FMA7309	right lung	FMA68003	intrapulmonary part of right inferior pulmonary vein
FMA45662	lower respiratory tract	FMA7310	left lung
FMA7310	left lung	FMA67995	intrapulmonary part of left pulmonary artery
FMA7310	left lung	FMA7371	lower lobe of left lung
FMA7371	lower lobe of left lung	FMA7379	left lateral basal bronchopulmonary segment
FMA7379	left lateral basal bronchopulmonary segment	FMA68232	left lateral basal segmental bronchial tree
FMA7371	lower lobe of left lung	FMA7378	left anterior basal bronchopulmonary segment
FMA7371	lower lobe of left lung	FMA7380	left posterior basal bronchopulmonary segment
FMA7380	left posterior basal bronchopulmonary segment	FMA68233	left posterior basal segmental bronchial tree
