concept id	name	element file id
FMA46733	uvular muscle	FJ2762
FMA46728	right levator veli palatini	FJ2753
FMA46729	left levator veli palatini	FJ2741
FMA46731	right tensor veli palatini	FJ2760
FMA46732	left tensor veli palatini	FJ2748
FMA49045	left superior rectus	FJ1323
FMA49044	right superior rectus	FJ1374
FMA49047	left inferior rectus	FJ1295
FMA49046	right inferior rectus	FJ1346
FMA49055	left lateral rectus	FJ1304
FMA49054	right lateral rectus	FJ1355
FMA49056	right medial rectus	FJ1359
FMA49057	left medial rectus	FJ1308
FMA49052	right superior oblique	FJ1373
FMA49053	left superior oblique	FJ1322
FMA49050	right inferior oblique	FJ1345
FMA49051	left inferior oblique	FJ1294
FMA49049	left levator palpebrae superioris	FJ1306
FMA49048	right levator palpebrae superioris	FJ1357
FMA46703	right hyoglossus	FJ2751
FMA46704	left hyoglossus	FJ2739
FMA46702	left genioglossus	FJ2738
FMA46698	right genioglossus	FJ2750
newnode325235	right stylohyoid ligament	FJ2764
newnode6363726	left stylohyoid ligament	FJ2763
newnode3746617	right lateral thyrohyoid ligament	FJ2797
newnode9109894	left lateral thyrohyoid ligament	FJ2779
FMA55138	median thyrohyoid ligament	FJ2790
FMA55227	hyo-epiglottic ligament	FJ2771
FMA55230	thyro-epiglottic ligament	FJ2807
FMA55252	left conus elasticus	FJ2777
FMA55251	right conus elasticus	FJ2794
FMA55237	median cricothyroid ligament	FJ2789
newnode4111486	right vocal ligament	FJ2805
newnode7601596	left vocal ligament	FJ2787
FMA55114	left arytenoid cartilage	FJ2775
FMA55113	right arytenoid cartilage	FJ2792
FMA55099	thyroid cartilage	FJ2808
FMA55117	right cuneiform cartilage	FJ2795
FMA55118	left cuneiform cartilage	FJ2773
FMA9615	cricoid cartilage	FJ2769
FMA9615	cricoid cartilage	FJ2440
FMA55115	right corniculate cartilage	FJ2793
FMA55116	left corniculate cartilage	FJ2776
FMA13409	left sternocleidomastoid	FJ1573
FMA13408	right sternocleidomastoid	FJ1595
FMA45739	right platysma	FJ1587
FMA45740	left platysma	FJ1558
FMA13348	right omohyoid	FJ1586
FMA13349	left omohyoid	FJ1565
FMA13350	right sternothyroid	FJ1597
FMA13351	left sternothyroid	FJ1575
FMA13353	left thyrohyoid	FJ1577
FMA13352	right thyrohyoid	FJ1599
FMA55134	left thyrohyoid membrane	FJ2786
FMA55133	right thyrohyoid membrane	FJ2804
FMA13346	right sternohyoid	FJ1596
FMA13347	left sternohyoid	FJ1574
FMA46292	right digastric	FJ1556
FMA46292	right digastric	FJ1579
FMA258850	right intermediate tendon	FJ1581
FMA46293	left digastric	FJ1578
