concept id	name	element file id.obj
FMA15900	urinary bladder	FJ3149.obj
FMA19667	urethra	FJ3148.obj
FMA7204	right kidney	FJ3147.obj
FMA15571	right ureter	FJ3146.obj
FMA15572	left ureter	FJ3144.obj
FMA7205	left kidney	FJ3145.obj
FMA13889	pituitary gland	FJ1796.obj
FMA15629	right adrenal gland	FJ3130.obj
FMA15630	left adrenal gland	FJ3129.obj
FMA7211	right testis	FJ3142.obj
FMA7212	left testis	FJ3138.obj
FMA19387	right seminal vesicle	FJ3143.obj
FMA19388	left seminal vesicle	FJ3137.obj
FMA19618	corpus cavernosum of penis	FJ3132.obj
FMA19617	corpus spongiosum of penis	FJ3133.obj
FMA18247	glans penis	FJ3134.obj
FMA9600	prostate	FJ3139.obj
FMA18256	right epididymis	FJ3141.obj
FMA18257	left epididymis	FJ3136.obj
FMA19236	left deferent duct	FJ3135.obj
FMA19235	right deferent duct	FJ3140.obj
FMA16549	mesoappendix	FJ3397.obj
FMA14647	transverse mesocolon	FJ3398.obj
FMA14643	mesentery of small intestine	FJ3396.obj
FMA7202	gallbladder	FJ2817.obj
FMA14539	cystic duct	FJ3080.obj
FMA15745	hepatovenous segment vii	FJ1858.obj
FMA15744	hepatovenous segment vi	FJ2822.obj
FMA15746	hepatovenous segment viii	FJ2824.obj
FMA15743	hepatovenous segment v	FJ2821.obj
FMA71885	medial superior tributary of left hepatic biliary tree	FJ3105.obj
FMA71885	medial superior tributary of left hepatic biliary tree	FJ3104.obj
FMA71886	medial inferior tributary of left hepatic biliary tree	FJ3103.obj
FMA14670	left hepatic duct	FJ3096.obj
FMA71889	caudate lobe tributary of left hepatic biliary tree	FJ1883.obj
FMA71887	lateral superior tributary of left hepatic biliary tree	FJ3090.obj
FMA71887	lateral superior tributary of left hepatic biliary tree	FJ3088.obj
FMA71888	lateral inferior tributary of left hepatic biliary tree	FJ3089.obj
FMA71869	posterior superior tributary of right hepatic biliary tree	FJ3109.obj
FMA71869	posterior superior tributary of right hepatic biliary tree	FJ3110.obj
FMA71870	posterior inferior tributary of right hepatic biliary tree	FJ3108.obj
FMA14669	right hepatic duct	FJ3123.obj
FMA71867	anterior superior tributary of right hepatic biliary tree	FJ3071.obj
FMA71868	anterior inferior tributary of right hepatic biliary tree	FJ3072.obj
FMA13365	caudate lobe of liver	FJ2816.obj
FMA76903	left duct of caudate lobe of liver	FJ3094.obj
FMA15739	hepatovenous segment ii	FJ2818.obj
FMA15741	hepatovenous segment iii	FJ2819.obj
FMA15742	hepatovenous segment iv	FJ2820.obj
FMA14668	common hepatic duct	FJ3079.obj
FMA7198	pancreas	FJ1895.obj
FMA63103	pancreatic duct tree	FJ2630.obj
FMA7148	stomach	FJ2564.obj
FMA16981	proximal part of jejunum	FJ2627.obj
FMA16981	proximal part of jejunum	FJ2626.obj
FMA16981	proximal part of jejunum	FJ2606.obj
FMA16981	proximal part of jejunum	FJ2617.obj
FMA16981	proximal part of jejunum	FJ2623.obj
FMA16981	proximal part of jejunum	FJ2622.obj
FMA16981	proximal part of jejunum	FJ2625.obj
FMA16981	proximal part of jejunum	FJ2624.obj
FMA16983	distal part of jejunum	FJ2616.obj
FMA16983	distal part of jejunum	FJ2615.obj
FMA16983	distal part of jejunum	FJ2618.obj
FMA16983	distal part of jejunum	FJ2612.obj
FMA16983	distal part of jejunum	FJ2611.obj
FMA16983	distal part of jejunum	FJ2614.obj
FMA16983	distal part of jejunum	FJ2613.obj
FMA16983	distal part of jejunum	FJ2621.obj
FMA16983	distal part of jejunum	FJ2620.obj
FMA16983	distal part of jejunum	FJ2619.obj
FMA16982	middle part of jejunum	FJ2607.obj
FMA16982	middle part of jejunum	FJ2628.obj
FMA16982	middle part of jejunum	FJ2610.obj
FMA16982	middle part of jejunum	FJ2609.obj
FMA16982	middle part of jejunum	FJ2608.obj
FMA14965	middle part of ileum	FJ2580.obj
FMA14965	middle part of ileum	FJ2579.obj
FMA14965	middle part of ileum	FJ2578.obj
FMA14965	middle part of ileum	FJ2586.obj
FMA14965	middle part of ileum	FJ2577.obj
FMA14965	middle part of ileum	FJ2576.obj
FMA14965	middle part of ileum	FJ2582.obj
FMA14965	middle part of ileum	FJ2581.obj
FMA14965	middle part of ileum	FJ2584.obj
FMA14965	middle part of ileum	FJ2583.obj
FMA14966	distal part of ileum	FJ2591.obj
FMA14966	distal part of ileum	FJ2590.obj
FMA14966	distal part of ileum	FJ2589.obj
FMA14966	distal part of ileum	FJ2597.obj
FMA14966	distal part of ileum	FJ2588.obj
FMA14966	distal part of ileum	FJ2587.obj
FMA14966	distal part of ileum	FJ2598.obj
FMA14966	distal part of ileum	FJ2593.obj
FMA14966	distal part of ileum	FJ2592.obj
FMA14966	distal part of ileum	FJ2595.obj
FMA14966	distal part of ileum	FJ2594.obj
FMA11338	ileocecal junction	FJ2599.obj
FMA14964	proximal part of ileum	FJ2605.obj
FMA14964	proximal part of ileum	FJ2604.obj
FMA14964	proximal part of ileum	FJ2601.obj
FMA14964	proximal part of ileum	FJ2600.obj
FMA14964	proximal part of ileum	FJ2603.obj
FMA14964	proximal part of ileum	FJ2602.obj
FMA14964	proximal part of ileum	FJ2575.obj
FMA14964	proximal part of ileum	FJ2574.obj
FMA14964	proximal part of ileum	FJ2585.obj
FMA14964	proximal part of ileum	FJ2596.obj
FMA7206	duodenum	FJ2573.obj
FMA59816	lip	FJ2814.obj
