concept id	name	element file id
FMA20394	human body	FJ2490
FMA20394	human body	FJ3580
FMA20394	human body	FJ3581
FMA20394	human body	FJ2492
FMA20394	human body	FJ2491
FMA20394	human body	FJ1711M
FMA20394	human body	FJ3338
FMA20394	human body	FJ3337
FMA20394	human body	FJ3579
FMA20394	human body	FJ3339
FMA20394	human body	FJ2487
FMA20394	human body	FJ3334
FMA20394	human body	FJ2486
FMA20394	human body	FJ3333
FMA20394	human body	FJ2489
FMA20394	human body	FJ3336
FMA20394	human body	FJ2246
FMA20394	human body	FJ2488
FMA20394	human body	FJ3335
FMA20394	human body	FJ3576
FMA20394	human body	FJ2241
FMA20394	human body	FJ2483
FMA20394	human body	FJ3330
FMA20394	human body	FJ2240
FMA20394	human body	FJ2482
FMA20394	human body	FJ2243
FMA20394	human body	FJ2485
FMA20394	human body	FJ3332
FMA20394	human body	FJ3571
FMA20394	human body	FJ2242
FMA20394	human body	FJ2484
FMA20394	human body	FJ3331
FMA20394	human body	FJ3572
FMA20394	human body	FJ3350
FMA20394	human body	FJ3590
FMA20394	human body	FJ3107
FMA20394	human body	FJ3349
FMA20394	human body	FJ2259
FMA20394	human body	FJ3106
FMA20394	human body	FJ3348
FMA20394	human body	FJ3109
FMA20394	human body	FJ3108
FMA20394	human body	FJ2256
FMA20394	human body	FJ2498
FMA20394	human body	FJ3103
FMA20394	human body	FJ3345
FMA20394	human body	FJ2013
FMA20394	human body	FJ2255
FMA20394	human body	FJ2497
FMA20394	human body	FJ3102
FMA20394	human body	FJ3344
FMA20394	human body	FJ2258
FMA20394	human body	FJ3105
FMA20394	human body	FJ3347
FMA20394	human body	FJ3586
FMA20394	human body	FJ2257
FMA20394	human body	FJ2499
FMA20394	human body	FJ3104
FMA20394	human body	FJ3346
FMA20394	human body	FJ3587
FMA20394	human body	FJ2252
FMA20394	human body	FJ2494
FMA20394	human body	FJ3341
FMA20394	human body	FJ3584
FMA20394	human body	FJ2251
FMA20394	human body	FJ2493
FMA20394	human body	FJ3340
FMA20394	human body	FJ3585
FMA20394	human body	FJ2496
FMA20394	human body	FJ3343
FMA20394	human body	FJ3582
FMA20394	human body	FJ2011
FMA20394	human body	FJ2253
FMA20394	human body	FJ2495
FMA20394	human body	FJ3342
FMA20394	human body	FJ3583
FMA20394	human body	FJ2270
FMA20394	human body	FJ2272
FMA20394	human body	FJ3361
FMA20394	human body	FJ2271
FMA20394	human body	FJ3360
FMA20394	human body	FJ1713M
FMA20394	human body	FJ3117
FMA20394	human body	FJ3359
FMA20394	human body	FJ2025
FMA20394	human body	FJ2267
FMA20394	human body	FJ3114
FMA20394	human body	FJ3356
FMA20394	human body	FJ2266
FMA20394	human body	FJ3113
FMA20394	human body	FJ3355
FMA20394	human body	FJ3116
FMA20394	human body	FJ3358
FMA20394	human body	FJ3115
FMA20394	human body	FJ3357
FMA20394	human body	FJ2263
FMA20394	human body	FJ3110
FMA20394	human body	FJ3352
FMA20394	human body	FJ3351
FMA20394	human body	FJ3112
FMA20394	human body	FJ3354
FMA20394	human body	FJ2264
FMA20394	human body	FJ3111
FMA20394	human body	FJ3353
FMA20394	human body	FJ3594
FMA20394	human body	FJ3370
FMA20394	human body	FJ2041
FMA20394	human body	FJ2283
FMA20394	human body	FJ3130
FMA20394	human body	FJ2282
FMA20394	human body	FJ3371
FMA20394	human body	FJ3129
FMA20394	human body	FJ3128
FMA20394	human body	FJ1715M
FMA20394	human body	FJ2278
FMA20394	human body	FJ3125
FMA20394	human body	FJ3367
FMA20394	human body	FJ2277
FMA20394	human body	FJ3124
FMA20394	human body	FJ3366
FMA20394	human body	FJ2038
FMA20394	human body	FJ3127
FMA20394	human body	FJ3369
FMA20394	human body	FJ3126
FMA20394	human body	FJ3368
FMA20394	human body	FJ2273
FMA20394	human body	FJ3362
FMA20394	human body	FJ2034
FMA20394	human body	FJ2276
FMA20394	human body	FJ3123
FMA20394	human body	FJ3365
FMA20394	human body	FJ2275
FMA20394	human body	FJ3122
FMA20394	human body	FJ3364
FMA20394	human body	FJ2690
