concept id	name	element file id
FMA20394	human body	FJ2490
FMA20394	human body	FJ2492
FMA20394	human body	FJ2491
FMA20394	human body	FJ3338
FMA20394	human body	FJ3337
FMA20394	human body	FJ3339
FMA20394	human body	FJ3334
FMA20394	human body	FJ1518M
FMA20394	human body	FJ2487
FMA20394	human body	FJ3333
FMA20394	human body	FJ2486
FMA20394	human body	FJ3336
FMA20394	human body	FJ2489
FMA20394	human body	FJ3335
FMA20394	human body	FJ2488
FMA20394	human body	FJ3330
FMA20394	human body	FJ2483
FMA20394	human body	FJ2482
FMA20394	human body	FJ3332
FMA20394	human body	FJ2485
FMA20394	human body	FJ3331
FMA20394	human body	FJ2484
FMA20394	human body	FJ3350
FMA20394	human body	FMA22878
FMA20394	human body	FJ3349
FMA20394	human body	FJ3348
FMA20394	human body	FJ3345
FMA20394	human body	FJ2498
FMA20394	human body	FJ3344
FMA20394	human body	FJ2013
FMA20394	human body	FJ2497
FMA20394	human body	FJ3347
FMA20394	human body	FJ3346
FMA20394	human body	FJ2499
FMA20394	human body	FJ3341
FMA20394	human body	FJ2494
FMA20394	human body	FJ3340
FMA20394	human body	FJ2493
FMA20394	human body	FJ3343
FMA20394	human body	FJ2496
FMA20394	human body	FJ3342
FMA20394	human body	FJ2011
FMA20394	human body	FJ2495
FMA20394	human body	FJ3361
FMA20394	human body	FJ3360
FMA20394	human body	FJ3359
FMA20394	human body	FMA22879
FMA20394	human body	FJ3356
FMA20394	human body	FJ2025
FMA20394	human body	FJ3355
FMA20394	human body	FJ3358
FMA20394	human body	FJ3357
FMA20394	human body	FJ3352
FMA20394	human body	FJ3351
FMA20394	human body	FJ3354
FMA20394	human body	FJ3353
FMA20394	human body	FJ3370
FMA20394	human body	FJ3372
FMA20394	human body	FJ2041
FMA20394	human body	FJ3371
FMA20394	human body	FJ3367
FMA20394	human body	FJ3366
FMA20394	human body	FJ3369
FMA20394	human body	FJ2038
FMA20394	human body	FJ3368
FMA20394	human body	FJ3362
FMA20394	human body	FJ3365
FMA20394	human body	FJ2034
FMA20394	human body	FJ3364
FMA20394	human body	FJ2447
FMA20394	human body	FJ1599
FMA20394	human body	FJ2446
FMA20394	human body	FJ2449
FMA20394	human body	FJ2448
FMA20394	human body	FJ1596
FMA20394	human body	FJ2443
FMA20394	human body	FJ1595
FMA20394	human body	FJ2442
FMA20394	human body	FJ1598
FMA20394	human body	FJ2445
FMA20394	human body	FJ1597
FMA20394	human body	FJ2444
FMA20394	human body	FJ1592
FMA20394	human body	FJ1591
FMA20394	human body	FJ1594
FMA20394	human body	FJ2441
